CustID,CreditScore,Geography,Gender,Age,Tenure,Balance,Num Of accounts,Cr Card,active member,monthly Salary,Bank customer Exited
1,619,France,Female,42,2,0,1,1,Active,101348.88,Exited
2,608,Spain,Female,41,1,83807.86,1,0,Active,112542.58,Non_exited
3,502,France,Female,42,8,159660.8,3,1,Inactive,113931.57,Exited
4,699,France,Female,39,1,0,2,0,Inactive,93826.63,Non_exited
5,850,Spain,Female,43,2,125510.82,1,1,Active,79084.1,Non_exited
6,645,Spain,Male,44,8,113755.78,2,1,Inactive,149756.71,Exited
7,822,France,Male,50,7,0,2,1,Active,10062.8,Non_exited
8,376,Germany,Female,29,4,115046.74,4,1,Inactive,119346.88,Exited
9,501,France,Male,44,4,142051.07,2,0,Active,74940.5,Non_exited
10,684,France,Male,27,2,134603.88,1,1,Active,71725.73,Non_exited
11,528,France,Male,31,6,102016.72,2,0,Inactive,80181.12,Non_exited
12,497,Spain,Male,24,3,0,2,1,Inactive,76390.01,Non_exited
13,476,France,Female,34,10,0,2,1,Inactive,26260.98,Non_exited
14,549,France,Female,25,5,0,2,0,Inactive,190857.79,Non_exited
15,635,Spain,Female,35,7,0,2,1,Active,65951.65,Non_exited
16,616,Germany,Male,45,3,143129.41,2,0,Active,64327.26,Non_exited
17,653,Germany,Male,58,1,132602.88,1,1,Inactive,5097.67,Exited
18,549,Spain,Female,24,9,0,2,1,Active,14406.41,Non_exited
19,587,Spain,Male,45,6,0,1,0,Inactive,158684.81,Non_exited
20,726,France,Female,24,6,0,2,1,Active,54724.03,Non_exited
21,732,France,Male,41,8,0,2,1,Active,170886.17,Non_exited
22,636,Spain,Female,32,8,0,2,1,Inactive,138555.46,Non_exited
23,510,Spain,Female,38,4,0,1,1,Inactive,118913.53,Exited
24,669,France,Male,46,3,0,2,0,Active,8487.75,Non_exited
25,846,France,Female,38,5,0,1,1,Active,187616.16,Non_exited
26,577,France,Male,25,3,0,2,0,Active,124508.29,Non_exited
27,756,Germany,Male,36,2,136815.64,1,1,Active,170041.95,Non_exited
28,571,France,Male,44,9,0,2,0,Inactive,38433.35,Non_exited
29,574,Germany,Female,43,3,141349.43,1,1,Active,100187.43,Non_exited
30,411,France,Male,29,0,59697.17,2,1,Active,53483.21,Non_exited
31,591,Spain,Female,39,3,0,3,1,Inactive,140469.38,Exited
32,533,France,Male,36,7,85311.7,1,0,Active,156731.91,Non_exited
33,553,Germany,Male,41,9,110112.54,2,0,Inactive,81898.81,Non_exited
34,520,Spain,Female,42,6,0,2,1,Active,34410.55,Non_exited
35,722,Spain,Female,29,9,0,2,1,Active,142033.07,Non_exited
36,475,France,Female,45,0,134264.04,1,1,Inactive,27822.99,Exited
37,490,Spain,Male,31,3,145260.23,1,0,Active,114066.77,Non_exited
38,804,Spain,Male,33,7,76548.6,1,0,Active,98453.45,Non_exited
39,850,France,Male,36,7,0,1,1,Active,40812.9,Non_exited
40,582,Germany,Male,41,6,70349.48,2,0,Active,178074.04,Non_exited
41,472,Spain,Male,40,4,0,1,1,Inactive,70154.22,Non_exited
42,465,France,Female,51,8,122522.32,1,0,Inactive,181297.65,Exited
43,556,France,Female,61,2,117419.35,1,1,Active,94153.83,Non_exited
44,834,France,Female,49,2,131394.56,1,0,Inactive,194365.76,Exited
45,660,Spain,Female,61,5,155931.11,1,1,Active,158338.39,Non_exited
46,776,Germany,Female,32,4,109421.13,2,1,Active,126517.46,Non_exited
47,829,Germany,Female,27,9,112045.67,1,1,Active,119708.21,Exited
48,637,Germany,Female,39,9,137843.8,1,1,Active,117622.8,Exited
49,550,Germany,Male,38,2,103391.38,1,0,Active,90878.13,Non_exited
50,776,Germany,Female,37,2,103769.22,2,1,Inactive,194099.12,Non_exited
51,698,Germany,Male,44,10,116363.37,2,1,Inactive,198059.16,Non_exited
52,585,Germany,Male,36,5,146050.97,2,0,Inactive,86424.57,Non_exited
53,788,France,Female,33,5,0,2,0,Inactive,116978.19,Non_exited
54,655,Germany,Male,41,8,125561.97,1,0,Inactive,164040.94,Exited
55,601,Germany,Male,42,1,98495.72,1,1,Inactive,40014.76,Exited
56,619,France,Male,43,1,125211.92,1,1,Active,113410.49,Non_exited
57,656,France,Male,45,5,127864.4,1,1,Inactive,87107.57,Non_exited
58,725,Germany,Male,19,0,75888.2,1,0,Inactive,45613.75,Non_exited
59,511,Spain,Female,66,4,0,1,1,Inactive,1643.11,Exited
60,614,France,Male,51,4,40685.92,1,1,Active,46775.28,Non_exited
61,742,Germany,Male,35,5,136857,1,0,Inactive,84509.57,Non_exited
62,687,Germany,Female,27,9,152328.88,2,0,Inactive,126494.82,Non_exited
63,555,Spain,Male,33,1,56084.69,2,0,Inactive,178798.13,Non_exited
64,684,Spain,Male,56,8,78707.16,1,1,Active,99398.36,Non_exited
65,603,Germany,Male,26,4,109166.37,1,1,Active,92840.67,Non_exited
66,751,Germany,Female,36,6,169831.46,2,1,Active,27758.36,Non_exited
67,581,Germany,Female,34,1,101633.04,1,1,Inactive,110431.51,Non_exited
68,735,Germany,Male,43,10,123180.01,2,1,Active,196673.28,Non_exited
69,661,Germany,Female,35,5,150725.53,2,0,Active,113656.85,Non_exited
70,675,France,Female,21,8,98373.26,1,1,Active,18203,Non_exited
71,738,Germany,Male,58,2,133745.44,4,1,Inactive,28373.86,Exited
72,813,France,Male,29,6,0,1,1,Inactive,33953.87,Non_exited
73,657,Spain,Female,37,0,163607.18,1,0,Active,44203.55,Non_exited
74,604,Germany,Female,25,5,157780.84,2,1,Active,58426.81,Non_exited
75,519,France,Male,36,9,0,2,0,Active,145562.4,Non_exited
76,735,France,Female,21,1,178718.19,2,1,Inactive,22388,Non_exited
77,664,France,Male,55,8,0,2,1,Active,139161.64,Non_exited
78,678,France,Female,32,9,0,1,1,Active,148210.64,Non_exited
79,757,Spain,Male,33,5,77253.22,1,0,Active,194239.63,Non_exited
80,416,Germany,Female,41,10,122189.66,2,1,Inactive,98301.61,Non_exited
81,665,France,Female,34,1,96645.54,2,0,Inactive,171413.66,Non_exited
82,777,France,Female,32,2,0,1,1,Inactive,136458.19,Exited
83,543,France,Female,36,3,0,2,0,Inactive,26019.59,Non_exited
84,506,France,Female,34,4,90307.62,1,1,Active,159235.29,Non_exited
85,493,France,Female,46,4,0,2,1,Inactive,1907.66,Non_exited
86,652,Spain,Female,75,10,0,2,1,Active,114675.75,Non_exited
87,750,Spain,Male,22,3,121681.82,1,1,Inactive,128643.35,Exited
88,729,France,Male,30,9,0,2,1,Inactive,151869.35,Non_exited
89,646,France,Female,46,4,0,3,1,Inactive,93251.42,Exited
90,635,Germany,Female,28,3,81623.67,2,1,Active,156791.36,Non_exited
91,647,Spain,Female,44,5,0,3,1,Active,174205.22,Exited
92,808,France,Male,45,7,118626.55,2,1,Inactive,147132.46,Non_exited
93,524,France,Female,36,10,0,2,1,Inactive,109614.57,Non_exited
94,769,France,Male,29,8,0,2,1,Active,172290.61,Non_exited
95,730,Spain,Male,42,4,0,2,0,Active,85982.47,Non_exited
96,515,Spain,Male,35,10,176273.95,1,0,Active,121277.78,Non_exited
97,773,Spain,Male,41,9,102827.44,1,0,Active,64595.25,Non_exited
98,814,Germany,Male,29,8,97086.4,2,1,Active,197276.13,Non_exited
99,710,Spain,Male,22,8,0,2,0,Inactive,99645.04,Non_exited
100,413,France,Male,34,9,0,2,0,Inactive,6534.18,Non_exited
101,665,France,Female,40,6,0,1,1,Active,161848.03,Non_exited
102,623,France,Female,44,6,0,2,0,Inactive,167162.43,Non_exited
103,738,France,Male,31,9,82674.15,1,1,Inactive,41970.72,Non_exited
104,528,Spain,Male,36,7,0,2,1,Inactive,60536.56,Non_exited
105,670,Spain,Female,65,1,0,1,1,Active,177655.68,Exited
106,622,Spain,Female,46,4,107073.27,2,1,Active,30984.59,Exited
107,582,Germany,Male,32,1,88938.62,1,1,Active,10054.53,Non_exited
108,785,Germany,Female,36,2,99806.85,1,0,Active,36976.52,Non_exited
109,605,Spain,Male,33,5,150092.8,1,0,Inactive,71862.79,Non_exited
110,479,Germany,Male,35,9,92833.89,1,1,Inactive,99449.86,Exited
111,685,Germany,Male,30,3,90536.81,1,0,Active,63082.88,Non_exited
112,538,Germany,Male,39,7,108055.1,2,1,Inactive,27231.26,Non_exited
113,562,France,Male,42,2,100238.35,1,0,Inactive,86797.41,Non_exited
114,675,Spain,Male,36,9,106190.55,1,0,Active,22994.32,Non_exited
115,721,Germany,Male,28,9,154475.54,2,0,Active,101300.94,Exited
116,628,Germany,Female,30,9,132351.29,2,1,Active,74169.13,Non_exited
117,668,Germany,Female,37,6,167864.4,1,1,Inactive,115638.29,Non_exited
118,506,France,Female,41,1,0,2,1,Inactive,31766.3,Non_exited
119,524,Germany,Female,31,8,107818.63,1,1,Inactive,199725.39,Exited
120,699,Germany,Male,34,4,185173.81,2,1,Inactive,120834.48,Non_exited
121,828,France,Male,34,8,129433.34,2,0,Inactive,38131.77,Non_exited
122,674,Spain,Male,39,6,120193.42,1,0,Inactive,100130.95,Non_exited
123,656,France,Female,39,6,0,2,1,Inactive,141069.88,Non_exited
124,684,Germany,Female,48,10,126384.42,1,1,Active,198129.36,Non_exited
125,625,France,Female,28,3,0,1,0,Inactive,183646.41,Non_exited
126,432,France,Male,42,9,152603.45,1,1,Inactive,110265.24,Exited
127,549,France,Female,52,1,0,1,0,Active,8636.05,Exited
128,625,Germany,Male,56,0,148507.24,1,1,Inactive,46824.08,Exited
129,828,France,Female,41,7,0,2,1,Inactive,171378.77,Non_exited
130,770,France,Male,24,9,101827.07,1,1,Inactive,167256.35,Non_exited
131,758,France,Female,34,3,0,2,1,Active,124226.16,Non_exited
132,795,Germany,Female,33,9,130862.43,1,1,Active,114935.21,Non_exited
133,687,France,Male,38,9,122570.87,1,1,Active,35608.88,Non_exited
134,686,France,Male,25,1,0,2,0,Active,16459.37,Non_exited
135,789,Germany,Male,39,7,124828.46,2,1,Active,124411.08,Non_exited
136,589,Germany,Female,50,5,144895.05,2,1,Active,34941.23,Non_exited
137,461,Germany,Female,34,5,63663.93,1,0,Active,167784.28,Non_exited
138,637,France,Male,40,2,133463.1,1,0,Active,93165.34,Non_exited
139,584,Spain,Female,48,2,213146.2,1,1,Inactive,75161.25,Exited
140,579,Spain,Female,35,1,129490.36,2,0,Active,8590.83,Exited
141,756,Germany,Male,44,10,137452.09,1,1,Inactive,189543.9,Non_exited
142,663,France,Male,34,7,0,2,1,Active,180427.24,Non_exited
143,682,France,Female,43,5,125851.93,1,1,Active,193318.33,Non_exited
144,793,Spain,Male,52,2,0,1,1,Inactive,159123.82,Exited
145,691,France,Female,31,5,40915.55,1,1,Inactive,126213.84,Exited
146,485,Spain,Female,21,5,113157.22,1,1,Active,54141.5,Non_exited
